nohup: ignoring input
numactl: enabled
===== msr_proj_0.oracleGeneral (256MB, hp_base=24, shared mode) =====
wrote: msr_proj_0.oracleGeneral lru t=1 hp=24 run=1 miss=0.5061 mqps=0.27
wrote: msr_proj_0.oracleGeneral s3fifo t=1 hp=24 run=1 miss=0.4213 mqps=0.74
wrote: msr_proj_0.oracleGeneral lruforgive t=1 hp=24 run=1 miss=0.4418 mqps=0.06
wrote: msr_proj_0.oracleGeneral lruforgive t=1 hp=24 run=2 miss=0.4411 mqps=0.06
wrote: msr_proj_0.oracleGeneral lruforgive t=1 hp=24 run=3 miss=0.4414 mqps=0.06
wrote: msr_proj_0.oracleGeneral lru t=2 hp=25 run=1 miss=0.5107 mqps=0.26
wrote: msr_proj_0.oracleGeneral s3fifo t=2 hp=25 run=1 miss=0.4214 mqps=0.73
wrote: msr_proj_0.oracleGeneral lruforgive t=2 hp=25 run=1 miss=0.4415 mqps=0.06
wrote: msr_proj_0.oracleGeneral lruforgive t=2 hp=25 run=2 miss=0.4411 mqps=0.06
wrote: msr_proj_0.oracleGeneral lruforgive t=2 hp=25 run=3 miss=0.4421 mqps=0.07
wrote: msr_proj_0.oracleGeneral lru t=4 hp=26 run=1 miss=0.5931 mqps=0.47
wrote: msr_proj_0.oracleGeneral s3fifo t=4 hp=26 run=1 miss=0.5341 mqps=0.81
wrote: msr_proj_0.oracleGeneral lruforgive t=4 hp=26 run=1 miss=0.5379 mqps=0.10
wrote: msr_proj_0.oracleGeneral lruforgive t=4 hp=26 run=2 miss=0.5423 mqps=0.10
wrote: msr_proj_0.oracleGeneral lruforgive t=4 hp=26 run=3 miss=0.5402 mqps=0.09
wrote: msr_proj_0.oracleGeneral lru t=8 hp=27 run=1 miss=0.6517 mqps=0.87
wrote: msr_proj_0.oracleGeneral s3fifo t=8 hp=27 run=1 miss=0.6079 mqps=0.85
wrote: msr_proj_0.oracleGeneral lruforgive t=8 hp=27 run=1 miss=0.6100 mqps=0.16
wrote: msr_proj_0.oracleGeneral lruforgive t=8 hp=27 run=2 miss=0.6079 mqps=0.15
wrote: msr_proj_0.oracleGeneral lruforgive t=8 hp=27 run=3 miss=0.6133 mqps=0.16
wrote: msr_proj_0.oracleGeneral lru t=16 hp=28 run=1 miss=0.6919 mqps=0.89
wrote: msr_proj_0.oracleGeneral s3fifo t=16 hp=28 run=1 miss=0.6512 mqps=0.87
wrote: msr_proj_0.oracleGeneral lruforgive t=16 hp=28 run=1 miss=0.6726 mqps=0.24
wrote: msr_proj_0.oracleGeneral lruforgive t=16 hp=28 run=2 miss=0.6721 mqps=0.23
wrote: msr_proj_0.oracleGeneral lruforgive t=16 hp=28 run=3 miss=0.6710 mqps=0.23
===== cache-t-00.oracleGeneral (512MB, hp_base=25, shared mode) =====
wrote: cache-t-00.oracleGeneral lru t=1 hp=25 run=1 miss=0.8325 mqps=0.31
wrote: cache-t-00.oracleGeneral s3fifo t=1 hp=25 run=1 miss=0.7750 mqps=0.56
wrote: cache-t-00.oracleGeneral lruforgive t=1 hp=25 run=1 miss=0.7762 mqps=0.05
wrote: cache-t-00.oracleGeneral lruforgive t=1 hp=25 run=2 miss=0.7761 mqps=0.05
wrote: cache-t-00.oracleGeneral lruforgive t=1 hp=25 run=3 miss=0.7757 mqps=0.05
wrote: cache-t-00.oracleGeneral lru t=2 hp=26 run=1 miss=0.8325 mqps=0.31
FAIL: s3fifo cache-t-00.oracleGeneral t=2 hp=26 | last line: 
wrote: cache-t-00.oracleGeneral lruforgive t=2 hp=26 run=1 miss=0.7760 mqps=0.06
wrote: cache-t-00.oracleGeneral lruforgive t=2 hp=26 run=2 miss=0.7759 mqps=0.06
wrote: cache-t-00.oracleGeneral lruforgive t=2 hp=26 run=3 miss=0.7758 mqps=0.06
wrote: cache-t-00.oracleGeneral lru t=4 hp=27 run=1 miss=0.8880 mqps=0.56
wrote: cache-t-00.oracleGeneral s3fifo t=4 hp=27 run=1 miss=0.8301 mqps=0.95
wrote: cache-t-00.oracleGeneral lruforgive t=4 hp=27 run=1 miss=0.8388 mqps=0.10
wrote: cache-t-00.oracleGeneral lruforgive t=4 hp=27 run=2 miss=0.8383 mqps=0.11
wrote: cache-t-00.oracleGeneral lruforgive t=4 hp=27 run=3 miss=0.8387 mqps=0.11
wrote: cache-t-00.oracleGeneral lru t=8 hp=28 run=1 miss=0.9238 mqps=0.96
FAIL: s3fifo cache-t-00.oracleGeneral t=8 hp=28 | last line: 
wrote: cache-t-00.oracleGeneral lruforgive t=8 hp=28 run=1 miss=0.8847 mqps=0.21
wrote: cache-t-00.oracleGeneral lruforgive t=8 hp=28 run=2 miss=0.8850 mqps=0.22
wrote: cache-t-00.oracleGeneral lruforgive t=8 hp=28 run=3 miss=0.8850 mqps=0.22
wrote: cache-t-00.oracleGeneral lru t=16 hp=29 run=1 miss=0.9462 mqps=1.15
wrote: cache-t-00.oracleGeneral s3fifo t=16 hp=29 run=1 miss=0.9006 mqps=1.59
wrote: cache-t-00.oracleGeneral lruforgive t=16 hp=29 run=1 miss=0.9180 mqps=0.34
wrote: cache-t-00.oracleGeneral lruforgive t=16 hp=29 run=2 miss=0.9179 mqps=0.34
wrote: cache-t-00.oracleGeneral lruforgive t=16 hp=29 run=3 miss=0.9180 mqps=0.34
===== cluster53.oracleGeneral (128MB, hp_base=23, shared mode) =====
wrote: cluster53.oracleGeneral lru t=1 hp=23 run=1 miss=0.2618 mqps=1.21
wrote: cluster53.oracleGeneral s3fifo t=1 hp=23 run=1 miss=0.2359 mqps=1.68
wrote: cluster53.oracleGeneral lruforgive t=1 hp=23 run=1 miss=0.2426 mqps=0.10
wrote: cluster53.oracleGeneral lruforgive t=1 hp=23 run=2 miss=0.2426 mqps=0.10
wrote: cluster53.oracleGeneral lruforgive t=1 hp=23 run=3 miss=0.2426 mqps=0.10
wrote: cluster53.oracleGeneral lru t=2 hp=24 run=1 miss=0.2619 mqps=1.19
wrote: cluster53.oracleGeneral s3fifo t=2 hp=24 run=1 miss=0.2359 mqps=1.68
wrote: cluster53.oracleGeneral lruforgive t=2 hp=24 run=1 miss=0.2426 mqps=0.11
wrote: cluster53.oracleGeneral lruforgive t=2 hp=24 run=2 miss=0.2426 mqps=0.11
wrote: cluster53.oracleGeneral lruforgive t=2 hp=24 run=3 miss=0.2427 mqps=0.11
wrote: cluster53.oracleGeneral lru t=4 hp=25 run=1 miss=0.3649 mqps=1.89
wrote: cluster53.oracleGeneral s3fifo t=4 hp=25 run=1 miss=0.3245 mqps=2.68
wrote: cluster53.oracleGeneral lruforgive t=4 hp=25 run=1 miss=0.3413 mqps=0.14
wrote: cluster53.oracleGeneral lruforgive t=4 hp=25 run=2 miss=0.3420 mqps=0.14
wrote: cluster53.oracleGeneral lruforgive t=4 hp=25 run=3 miss=0.3415 mqps=0.15
wrote: cluster53.oracleGeneral lru t=8 hp=26 run=1 miss=0.4546 mqps=2.76
FAIL: s3fifo cluster53.oracleGeneral t=8 hp=26 | last line: 
wrote: cluster53.oracleGeneral lruforgive t=8 hp=26 run=1 miss=0.4260 mqps=0.24
wrote: cluster53.oracleGeneral lruforgive t=8 hp=26 run=2 miss=0.4258 mqps=0.24
wrote: cluster53.oracleGeneral lruforgive t=8 hp=26 run=3 miss=0.4256 mqps=0.24
wrote: cluster53.oracleGeneral lru t=16 hp=27 run=1 miss=0.5248 mqps=3.06
FAIL: s3fifo cluster53.oracleGeneral t=16 hp=27 | last line: 
wrote: cluster53.oracleGeneral lruforgive t=16 hp=27 run=1 miss=0.5041 mqps=0.34
wrote: cluster53.oracleGeneral lruforgive t=16 hp=27 run=2 miss=0.5042 mqps=0.34
wrote: cluster53.oracleGeneral lruforgive t=16 hp=27 run=3 miss=0.5044 mqps=0.34
===== msr_prxy_1.oracleGeneral (256MB, hp_base=24, shared mode) =====
wrote: msr_prxy_1.oracleGeneral lru t=1 hp=24 run=1 miss=0.2758 mqps=0.99
wrote: msr_prxy_1.oracleGeneral s3fifo t=1 hp=24 run=1 miss=0.1097 mqps=1.73
wrote: msr_prxy_1.oracleGeneral lruforgive t=1 hp=24 run=1 miss=0.1971 mqps=0.13
wrote: msr_prxy_1.oracleGeneral lruforgive t=1 hp=24 run=2 miss=0.1947 mqps=0.13
wrote: msr_prxy_1.oracleGeneral lruforgive t=1 hp=24 run=3 miss=0.1594 mqps=0.15
wrote: msr_prxy_1.oracleGeneral lru t=2 hp=25 run=1 miss=0.2819 mqps=0.90
wrote: msr_prxy_1.oracleGeneral s3fifo t=2 hp=25 run=1 miss=0.1099 mqps=1.67
wrote: msr_prxy_1.oracleGeneral lruforgive t=2 hp=25 run=1 miss=0.1591 mqps=0.16
wrote: msr_prxy_1.oracleGeneral lruforgive t=2 hp=25 run=2 miss=0.1609 mqps=0.16
wrote: msr_prxy_1.oracleGeneral lruforgive t=2 hp=25 run=3 miss=0.1608 mqps=0.16
wrote: msr_prxy_1.oracleGeneral lru t=4 hp=26 run=1 miss=0.5401 mqps=1.15
FAIL: s3fifo msr_prxy_1.oracleGeneral t=4 hp=26 | last line: 
wrote: msr_prxy_1.oracleGeneral lruforgive t=4 hp=26 run=1 miss=0.4116 mqps=0.10
wrote: msr_prxy_1.oracleGeneral lruforgive t=4 hp=26 run=2 miss=0.4149 mqps=0.10
