nohup: ignoring input
##### PASS 1: BASELINES #####
=== lru ===
[have] lru cluster26.oracleGeneral 4MB
[have] lru cluster26.oracleGeneral 8MB
[have] lru cluster26.oracleGeneral 16MB
[have] lru cluster26.oracleGeneral 32MB
[have] lru cluster26.oracleGeneral 64MB
[have] lru cluster26.oracleGeneral 128MB
[have] lru cluster26.oracleGeneral 256MB
[have] lru cluster26.oracleGeneral 512MB
[have] lru cluster26.oracleGeneral 1024MB
[have] lru cluster26.oracleGeneral 2048MB
[have] lru cluster26.oracleGeneral 4096MB
[have] lru cluster26.oracleGeneral 8192MB
[have] lru cluster10.oracleGeneral 4MB
[have] lru cluster10.oracleGeneral 8MB
[have] lru cluster10.oracleGeneral 16MB
[have] lru cluster10.oracleGeneral 32MB
[have] lru cluster10.oracleGeneral 64MB
[have] lru cluster10.oracleGeneral 128MB
[have] lru cluster10.oracleGeneral 256MB
[have] lru cluster10.oracleGeneral 512MB
[have] lru cluster10.oracleGeneral 1024MB
[have] lru cluster10.oracleGeneral 2048MB
[have] lru cluster10.oracleGeneral 4096MB
[have] lru cluster10.oracleGeneral 8192MB
[have] lru cluster50.oracleGeneral 4MB
[have] lru cluster50.oracleGeneral 8MB
[have] lru cluster50.oracleGeneral 16MB
[have] lru cluster50.oracleGeneral 32MB
[have] lru cluster50.oracleGeneral 64MB
[have] lru cluster50.oracleGeneral 128MB
[have] lru cluster50.oracleGeneral 256MB
[have] lru cluster50.oracleGeneral 512MB
[have] lru cluster50.oracleGeneral 1024MB
[have] lru cluster50.oracleGeneral 2048MB
[have] lru cluster50.oracleGeneral 4096MB
[have] lru cluster50.oracleGeneral 8192MB
[have] lru cluster53.oracleGeneral 4MB
[have] lru cluster53.oracleGeneral 8MB
[have] lru cluster53.oracleGeneral 16MB
[have] lru cluster53.oracleGeneral 32MB
[have] lru cluster53.oracleGeneral 64MB
[have] lru cluster53.oracleGeneral 128MB
[have] lru cluster53.oracleGeneral 256MB
[have] lru cluster53.oracleGeneral 512MB
[have] lru cluster53.oracleGeneral 1024MB
[have] lru cluster53.oracleGeneral 2048MB
[have] lru cluster53.oracleGeneral 4096MB
[have] lru cluster53.oracleGeneral 8192MB
[have] lru cluster45.oracleGeneral 4MB
[have] lru cluster45.oracleGeneral 8MB
[have] lru cluster45.oracleGeneral 16MB
[have] lru cluster45.oracleGeneral 32MB
[have] lru cluster45.oracleGeneral 64MB
[have] lru cluster45.oracleGeneral 128MB
[have] lru cluster45.oracleGeneral 256MB
[have] lru cluster45.oracleGeneral 512MB
[have] lru cluster45.oracleGeneral 1024MB
[have] lru cluster45.oracleGeneral 2048MB
[have] lru cluster45.oracleGeneral 4096MB
