trace,threads,run,miss_ratio,mqps
msr_proj_0.oracleGeneral,1,1,0.4410,0.05
msr_proj_0.oracleGeneral,1,2,0.4414,0.05
msr_proj_0.oracleGeneral,1,3,0.4414,0.05
msr_proj_0.oracleGeneral,1,4,0.4439,0.05
msr_proj_0.oracleGeneral,1,5,0.4411,0.05
msr_proj_0.oracleGeneral,1,6,0.4416,0.05
msr_proj_0.oracleGeneral,1,7,0.4485,0.05
msr_proj_0.oracleGeneral,1,8,0.4414,0.05
msr_proj_0.oracleGeneral,1,9,0.4415,0.05
msr_proj_0.oracleGeneral,1,10,0.4421,0.05
cluster53.oracleGeneral,1,1,0.2426,0.09
cluster53.oracleGeneral,1,2,0.2426,0.09
cluster53.oracleGeneral,1,3,0.2427,0.09
cluster53.oracleGeneral,1,4,0.2426,0.09
cluster53.oracleGeneral,1,5,0.2426,0.09
cluster53.oracleGeneral,1,6,0.2426,0.09
cluster53.oracleGeneral,1,7,0.2426,0.09
cluster53.oracleGeneral,1,8,0.2427,0.09
cluster53.oracleGeneral,1,9,0.2426,0.09
cluster53.oracleGeneral,1,10,0.2426,0.09
cache-t-00.oracleGeneral,1,1,0.7759,0.05
cache-t-00.oracleGeneral,1,2,0.7759,0.05
cache-t-00.oracleGeneral,1,3,0.7760,0.05
cache-t-00.oracleGeneral,1,4,0.7759,0.05
cache-t-00.oracleGeneral,1,5,0.7760,0.05
cache-t-00.oracleGeneral,1,6,0.7760,0.05
cache-t-00.oracleGeneral,1,7,0.7757,0.05
cache-t-00.oracleGeneral,1,8,0.7760,0.05
cache-t-00.oracleGeneral,1,9,0.7759,0.05
cache-t-00.oracleGeneral,1,10,0.7759,0.05
