cache_mb,hashpower,algo,run,miss_ratio,mqps
200,24,lru,1,0.4680,0.60
200,24,lruforgive,1,0.3811,0.09
200,24,lruforgive,2,0.3862,0.09
200,24,lruforgive,3,0.3863,0.09
200,24,lruforgive,4,0.3888,0.09
200,24,lruforgive,5,0.3864,0.09
256,24,lru,1,0.3574,0.70
256,24,lruforgive,1,0.1594,0.13
256,24,lruforgive,2,0.1612,0.13
256,24,lruforgive,3,0.1937,0.12
256,24,lruforgive,4,0.2040,0.11
256,24,lruforgive,5,0.1604,0.13
320,24,lru,1,0.0574,1.31
320,24,lruforgive,1,0.0156,0.38
320,24,lruforgive,2,0.0156,0.38
320,24,lruforgive,3,0.0219,0.33
320,24,lruforgive,4,0.0156,0.38
320,24,lruforgive,5,0.0156,0.38
400,25,lru,1,0.0127,2.93
400,25,lruforgive,1,0.0123,0.49
400,25,lruforgive,2,0.0123,0.50
400,25,lruforgive,3,0.0123,0.50
400,25,lruforgive,4,0.0123,0.50
400,25,lruforgive,5,0.0123,0.49
800,26,lru,1,0.0029,3.22
800,26,lruforgive,1,0.0028,0.52
800,26,lruforgive,2,0.0028,0.52
800,26,lruforgive,3,0.0028,0.52
800,26,lruforgive,4,0.0028,0.53
800,26,lruforgive,5,0.0028,0.52
