recent_window,trace,threads,hashpower,run,miss_ratio,mqps
64,msr_proj_0.oracleGeneral,1,24,1,0.4426,0.03
64,msr_proj_0.oracleGeneral,1,24,2,0.4429,0.03
64,msr_proj_0.oracleGeneral,1,24,3,0.4388,0.03
64,msr_proj_0.oracleGeneral,2,25,1,0.4390,0.03
64,msr_proj_0.oracleGeneral,2,25,2,0.4394,0.03
64,msr_proj_0.oracleGeneral,2,25,3,0.4391,0.03
64,msr_proj_0.oracleGeneral,4,26,1,0.5439,0.04
64,msr_proj_0.oracleGeneral,4,26,2,0.5531,0.04
64,msr_proj_0.oracleGeneral,4,26,3,0.5388,0.04
64,msr_proj_0.oracleGeneral,8,27,1,0.6142,0.07
64,msr_proj_0.oracleGeneral,8,27,2,0.6188,0.07
64,msr_proj_0.oracleGeneral,8,27,3,0.6187,0.07
64,msr_proj_0.oracleGeneral,16,28,1,0.6761,0.13
64,msr_proj_0.oracleGeneral,16,28,2,0.6750,0.13
64,msr_proj_0.oracleGeneral,16,28,3,0.6754,0.13
64,cluster53.oracleGeneral,1,23,1,FAIL,
64,cluster53.oracleGeneral,1,23,2,FAIL,
64,cluster53.oracleGeneral,1,23,3,FAIL,
64,cluster53.oracleGeneral,2,24,1,FAIL,
64,cluster53.oracleGeneral,2,24,2,FAIL,
64,cluster53.oracleGeneral,2,24,3,FAIL,
64,cluster53.oracleGeneral,4,25,1,FAIL,
64,cluster53.oracleGeneral,4,25,2,FAIL,
64,cluster53.oracleGeneral,4,25,3,FAIL,
64,cluster53.oracleGeneral,8,26,1,FAIL,
64,cluster53.oracleGeneral,8,26,2,FAIL,
64,cluster53.oracleGeneral,8,26,3,FAIL,
64,cluster53.oracleGeneral,16,27,1,0.5026,0.14
64,cluster53.oracleGeneral,16,27,2,0.5027,0.14
64,cluster53.oracleGeneral,16,27,3,0.5030,0.14
