trace,policy,mode,size_base_mb,size_mb,threads,hp,rep,miss_ratio,mqps,requests
msr_proj_0,lru,replicated,1200,1200,1,26,1,0.2462,0.31,4224523
msr_proj_0,lru,replicated,1200,1200,1,26,2,0.2462,0.31,4224523
msr_proj_0,lru,replicated,1200,1200,1,26,3,0.2462,0.31,4224523
msr_proj_0,lru,replicated,1200,1200,1,26,4,0.2462,0.31,4224523
msr_proj_0,perthread,replicated,1200,1200,1,26,1,0.2440,0.23,4224523
msr_proj_0,perthread,replicated,1200,1200,1,26,2,0.2441,0.23,4224523
msr_proj_0,perthread,replicated,1200,1200,1,26,3,0.2441,0.23,4224523
msr_proj_0,perthread,replicated,1200,1200,1,26,4,0.2440,0.23,4224523
msr_proj_0,lru,replicated,1200,2400,2,27,1,0.2434,0.44,8449046
msr_proj_0,lru,replicated,1200,2400,2,27,2,0.2434,0.44,8449046
msr_proj_0,lru,replicated,1200,2400,2,27,3,0.2434,0.44,8449046
msr_proj_0,lru,replicated,1200,2400,2,27,4,0.2434,0.44,8449046
msr_proj_0,perthread,replicated,1200,2400,2,27,1,0.2413,0.33,8449046
msr_proj_0,perthread,replicated,1200,2400,2,27,2,0.2410,0.44,8449046
msr_proj_0,perthread,replicated,1200,2400,2,27,3,0.2401,0.44,8449046
msr_proj_0,perthread,replicated,1200,2400,2,27,4,0.2410,0.44,8449046
msr_proj_0,lru,replicated,1200,4800,4,28,1,0.2429,0.88,16898092
msr_proj_0,lru,replicated,1200,4800,4,28,2,0.2428,0.87,16898092
msr_proj_0,lru,replicated,1200,4800,4,28,3,0.2427,0.87,16898092
msr_proj_0,lru,replicated,1200,4800,4,28,4,0.2427,0.87,16898092
msr_proj_0,perthread,replicated,1200,4800,4,28,1,0.2398,0.65,16898092
msr_proj_0,perthread,replicated,1200,4800,4,28,2,0.2398,0.65,16898092
msr_proj_0,perthread,replicated,1200,4800,4,28,3,0.2404,0.65,16898092
msr_proj_0,perthread,replicated,1200,4800,4,28,4,0.2397,0.65,16898092
msr_proj_0,lru,replicated,1200,9600,8,29,1,0.2409,1.70,32898092
msr_proj_0,lru,replicated,1200,9600,8,29,2,0.2414,1.68,32449046
msr_proj_0,lru,replicated,1200,9600,8,29,3,0.2398,1.68,32449046
msr_proj_0,lru,replicated,1200,9600,8,29,4,0.2406,1.70,32898092
msr_proj_0,perthread,replicated,1200,9600,8,29,1,0.2373,1.02,33122615
msr_proj_0,perthread,replicated,1200,9600,8,29,2,0.2376,1.01,32673569
msr_proj_0,perthread,replicated,1200,9600,8,29,3,0.2371,1.02,32898092
msr_proj_0,perthread,replicated,1200,9600,8,29,4,0.2383,1.02,32898092
msr_proj_0,lru,replicated,1200,19200,16,30,1,0.2414,1.44,62224523
msr_proj_0,lru,replicated,1200,19200,16,30,2,0.2517,1.61,53224523
msr_proj_0,lru,replicated,1200,19200,16,30,3,0.2404,1.40,63224523
msr_proj_0,lru,replicated,1200,19200,16,30,4,0.2546,1.61,52224523
msr_proj_0,perthread,replicated,1200,19200,16,30,1,0.2393,1.02,62224523
msr_proj_0,perthread,replicated,1200,19200,16,30,2,0.2398,1.05,62224523
msr_proj_0,perthread,replicated,1200,19200,16,30,3,0.2392,1.03,62224523
msr_proj_0,perthread,replicated,1200,19200,16,30,4,0.2391,1.05,62224523
msr_proj_0,lru,replicated,600,600,1,25,1,0.3367,0.27,4224523
msr_proj_0,lru,replicated,600,600,1,25,2,0.3367,0.27,4224523
msr_proj_0,lru,replicated,600,600,1,25,3,0.3367,0.27,4224523
msr_proj_0,lru,replicated,600,600,1,25,4,0.3367,0.27,4224523
msr_proj_0,perthread,replicated,600,600,1,25,1,0.3357,0.21,4224523
msr_proj_0,perthread,replicated,600,600,1,25,2,0.3335,0.21,4224523
msr_proj_0,perthread,replicated,600,600,1,25,3,0.3357,0.21,4224523
msr_proj_0,perthread,replicated,600,600,1,25,4,0.3357,0.21,4224523
msr_proj_0,lru,replicated,600,1200,2,26,1,0.3292,0.47,8449046
msr_proj_0,lru,replicated,600,1200,2,26,2,0.3284,0.47,8449046
msr_proj_0,lru,replicated,600,1200,2,26,3,0.3288,0.47,8449046
msr_proj_0,lru,replicated,600,1200,2,26,4,0.3292,0.47,8449046
msr_proj_0,perthread,replicated,600,1200,2,26,1,0.3264,0.35,8449046
msr_proj_0,perthread,replicated,600,1200,2,26,2,0.3258,0.35,8449046
msr_proj_0,perthread,replicated,600,1200,2,26,3,0.3261,0.35,8449046
msr_proj_0,perthread,replicated,600,1200,2,26,4,0.3261,0.35,8449046
msr_proj_0,lru,replicated,600,2400,4,27,1,0.3266,0.93,16898092
msr_proj_0,lru,replicated,600,2400,4,27,2,0.3245,0.93,16898092
msr_proj_0,lru,replicated,600,2400,4,27,3,0.3275,0.93,16898092
msr_proj_0,lru,replicated,600,2400,4,27,4,0.3262,0.93,16898092
msr_proj_0,perthread,replicated,600,2400,4,27,1,0.3242,0.70,16898092
msr_proj_0,perthread,replicated,600,2400,4,27,2,0.3243,0.70,16898092
msr_proj_0,perthread,replicated,600,2400,4,27,3,0.3238,0.70,16898092
msr_proj_0,perthread,replicated,600,2400,4,27,4,0.3224,0.70,16898092
msr_proj_0,lru,replicated,600,4800,8,28,1,0.3219,1.37,33122615
msr_proj_0,lru,replicated,600,4800,8,28,2,0.3220,1.73,32673569
