branch,policy,t,rep,miss,tp
perthread,s3fifo,1,1,0.7750,0.43
perthread,s3fifoforgive,1,1,0.7725,0.35
perthread,s3fifo,1,2,0.7750,0.45
perthread,s3fifoforgive,1,2,0.7679,0.34
perthread,s3fifo,1,3,0.7750,0.44
perthread,s3fifoforgive,1,3,0.7680,0.34
perthread,s3fifo,4,1,0.7673,0.95
perthread,s3fifoforgive,4,1,0.7605,0.79
perthread,s3fifo,4,2,NA,NA
perthread,s3fifoforgive,4,2,NA,NA
perthread,s3fifo,4,3,NA,NA
perthread,s3fifoforgive,4,3,NA,NA
perthread,s3fifo,8,1,NA,NA
perthread,s3fifoforgive,8,1,0.7592,1.52
perthread,s3fifo,8,2,NA,NA
perthread,s3fifoforgive,8,2,NA,NA
perthread,s3fifo,8,3,NA,NA
perthread,s3fifoforgive,8,3,NA,NA
perthread,s3fifo,16,1,NA,NA
perthread,s3fifoforgive,16,1,NA,NA
perthread,s3fifo,16,2,NA,NA
perthread,s3fifoforgive,16,2,NA,NA
perthread,s3fifo,16,3,NA,NA
perthread,s3fifoforgive,16,3,NA,NA
