trace,policy,size_mb,hp,rep,miss_ratio,mqps,requests
msr_proj_0,s3fifo,1200,26,1,0.2182,0.35,4224523
msr_proj_0,s3fifo,1200,26,2,0.2183,0.34,4224523
msr_proj_0,s3fifo,1200,26,3,0.2183,0.34,4224523
msr_proj_0,s3fifo,1200,26,4,0.2183,0.34,4224523
msr_proj_0,s3fifoforgive,1200,26,1,0.2182,0.22,4224523
msr_proj_0,s3fifoforgive,1200,26,2,0.2183,0.23,4224523
msr_proj_0,s3fifoforgive,1200,26,3,0.2181,0.23,4224523
msr_proj_0,s3fifoforgive,1200,26,4,0.2182,0.22,4224523
msr_proj_0,s3fifo,600,25,1,0.3111,0.49,4224523
msr_proj_0,s3fifo,600,25,2,0.3111,0.48,4224523
msr_proj_0,s3fifo,600,25,3,0.3112,0.48,4224523
msr_proj_0,s3fifo,600,25,4,0.3112,0.48,4224523
msr_proj_0,s3fifoforgive,600,25,1,0.3072,0.28,4224523
msr_proj_0,s3fifoforgive,600,25,2,0.3072,0.28,4224523
msr_proj_0,s3fifoforgive,600,25,3,0.3075,0.28,4224523
msr_proj_0,s3fifoforgive,600,25,4,0.3085,0.28,4224523
msr_proj_0,s3fifo,256,24,1,0.4216,0.58,4224523
msr_proj_0,s3fifo,256,24,2,0.4217,0.58,4224523
msr_proj_0,s3fifo,256,24,3,0.4261,0.58,4224523
msr_proj_0,s3fifo,256,24,4,0.4219,0.58,4224523
msr_proj_0,s3fifoforgive,256,24,1,0.4201,0.38,4224523
msr_proj_0,s3fifoforgive,256,24,2,0.4209,0.36,4224523
msr_proj_0,s3fifoforgive,256,24,3,0.4213,0.36,4224523
msr_proj_0,s3fifoforgive,256,24,4,0.4127,0.35,4224523
cache-t-00,s3fifo,1200,26,1,0.6902,0.26,9826680
cache-t-00,s3fifo,1200,26,2,0.6902,0.26,9826680
cache-t-00,s3fifo,1200,26,3,0.6902,0.26,9826680
cache-t-00,s3fifo,1200,26,4,0.6902,0.26,9826680
cache-t-00,s3fifoforgive,1200,26,1,0.6867,0.20,9826680
cache-t-00,s3fifoforgive,1200,26,2,0.6866,0.20,9826680
cache-t-00,s3fifoforgive,1200,26,3,0.6866,0.20,9826680
cache-t-00,s3fifoforgive,1200,26,4,0.6867,0.20,9826680
cache-t-00,s3fifo,600,25,1,0.7603,0.36,9826680
cache-t-00,s3fifo,600,25,2,0.7603,0.36,9826680
cache-t-00,s3fifo,600,25,3,0.7603,0.36,9826680
cache-t-00,s3fifo,600,25,4,0.7672,0.33,9826680
cache-t-00,s3fifoforgive,600,25,1,0.7537,0.24,9826680
cache-t-00,s3fifoforgive,600,25,2,0.7625,0.24,9826680
cache-t-00,s3fifoforgive,600,25,3,0.7537,0.24,9826680
cache-t-00,s3fifoforgive,600,25,4,0.7537,0.24,9826680
cache-t-00,s3fifo,512,25,1,0.7750,0.43,9826680
cache-t-00,s3fifo,512,25,2,0.7750,0.42,9826680
cache-t-00,s3fifo,512,25,3,0.7750,0.43,9826680
cache-t-00,s3fifo,512,25,4,0.7750,0.43,9826680
cache-t-00,s3fifoforgive,512,25,1,0.7679,0.28,9826680
cache-t-00,s3fifoforgive,512,25,2,0.7679,0.29,9826680
cache-t-00,s3fifoforgive,512,25,3,0.7679,0.31,9826680
cache-t-00,s3fifoforgive,512,25,4,0.7680,0.31,9826680
cluster53,s3fifo,1200,26,1,0.0910,1.62,246508261
cluster53,s3fifo,1200,26,2,0.0910,1.58,246508261
cluster53,s3fifo,1200,26,3,0.0910,1.57,246508261
cluster53,s3fifo,1200,26,4,0.0910,1.59,246508261
cluster53,s3fifoforgive,1200,26,1,0.0910,0.40,246508261
cluster53,s3fifoforgive,1200,26,2,0.0910,0.39,246508261
cluster53,s3fifoforgive,1200,26,3,0.0910,0.38,246508261
cluster53,s3fifoforgive,1200,26,4,0.0910,0.40,246508261
cluster53,s3fifo,600,25,1,0.1213,1.48,246508261
cluster53,s3fifo,600,25,2,0.1213,1.47,246508261
cluster53,s3fifo,600,25,3,0.1213,1.48,246508261
cluster53,s3fifo,600,25,4,0.1213,1.47,246508261
cluster53,s3fifoforgive,600,25,1,0.1213,0.42,246508261
cluster53,s3fifoforgive,600,25,2,0.1213,0.42,246508261
cluster53,s3fifoforgive,600,25,3,0.1213,0.42,246508261
cluster53,s3fifoforgive,600,25,4,0.1213,0.42,246508261
cluster53,s3fifo,128,23,1,0.2359,1.32,246508261
cluster53,s3fifo,128,23,2,0.2359,1.32,246508261
cluster53,s3fifo,128,23,3,0.2359,1.31,246508261
cluster53,s3fifo,128,23,4,0.2359,1.32,246508261
cluster53,s3fifoforgive,128,23,1,0.2329,0.45,246508261
cluster53,s3fifoforgive,128,23,2,0.2329,0.45,246508261
cluster53,s3fifoforgive,128,23,3,0.2329,0.45,246508261
cluster53,s3fifoforgive,128,23,4,0.2329,0.45,246508261
msr_prxy_1,s3fifo,1200,26,1,0.0026,3.78,168638963
msr_prxy_1,s3fifo,1200,26,2,0.0026,3.68,168638963
msr_prxy_1,s3fifo,1200,26,3,0.0026,3.78,168638963
msr_prxy_1,s3fifo,1200,26,4,0.0026,3.70,168638963
msr_prxy_1,s3fifoforgive,1200,26,1,0.0026,0.73,168638963
msr_prxy_1,s3fifoforgive,1200,26,2,0.0026,0.73,168638963
msr_prxy_1,s3fifoforgive,1200,26,3,0.0026,0.73,168638963
msr_prxy_1,s3fifoforgive,1200,26,4,0.0026,0.74,168638963
msr_prxy_1,s3fifo,600,25,1,0.0028,3.84,168638963
msr_prxy_1,s3fifo,600,25,2,0.0028,3.95,168638963
msr_prxy_1,s3fifo,600,25,3,0.0028,3.86,168638963
msr_prxy_1,s3fifo,600,25,4,0.0028,3.86,168638963
msr_prxy_1,s3fifoforgive,600,25,1,0.0028,0.76,168638963
msr_prxy_1,s3fifoforgive,600,25,2,0.0028,0.76,168638963
msr_prxy_1,s3fifoforgive,600,25,3,0.0028,0.75,168638963
msr_prxy_1,s3fifoforgive,600,25,4,0.0028,0.75,168638963
msr_prxy_1,s3fifo,256,24,1,0.1621,1.17,168638963
