trace,policy,mode,size_mb,threads,hp,rep,miss_ratio,mqps,requests
msr_proj_0,lru,shared,1200,1,26,1,0.2462,0.32,4224523
msr_proj_0,lru,shared,1200,1,26,2,0.2462,0.33,4224523
msr_proj_0,logbackoff,shared,1200,1,26,1,0.2416,0.23,4224523
msr_proj_0,logbackoff,shared,1200,1,26,2,0.2415,0.25,4224523
msr_proj_0,lru,shared,1200,2,27,1,0.2466,0.33,4224524
msr_proj_0,lru,shared,1200,2,27,2,0.2466,0.33,4224524
msr_proj_0,logbackoff,shared,1200,2,27,1,0.2413,0.33,4224524
msr_proj_0,logbackoff,shared,1200,2,27,2,0.2418,0.33,4224524
msr_proj_0,lru,shared,1200,4,28,1,0.2473,0.66,4224524
msr_proj_0,lru,shared,1200,4,28,2,0.2468,0.66,4224524
msr_proj_0,logbackoff,shared,1200,4,28,1,0.2422,0.33,4224524
msr_proj_0,logbackoff,shared,1200,4,28,2,0.2406,0.33,4224524
msr_proj_0,lru,shared,1200,8,29,1,0.2577,0.66,4224524
msr_proj_0,lru,shared,1200,8,29,2,0.2524,0.66,4224524
msr_proj_0,logbackoff,shared,1200,8,29,1,0.2509,0.33,4224524
msr_proj_0,logbackoff,shared,1200,8,29,2,0.2481,0.33,4224524
msr_proj_0,lru,shared,1200,16,30,1,0.2757,0.67,4224524
msr_proj_0,lru,shared,1200,16,30,2,0.2718,0.67,4224524
msr_proj_0,logbackoff,shared,1200,16,30,1,0.2526,0.33,4224524
msr_proj_0,logbackoff,shared,1200,16,30,2,0.2524,0.33,4224524
msr_proj_0,lru,shared,600,1,25,1,0.3367,0.28,4224523
msr_proj_0,lru,shared,600,1,25,2,0.3367,0.28,4224523
msr_proj_0,logbackoff,shared,600,1,25,1,0.3269,0.21,4224523
msr_proj_0,logbackoff,shared,600,1,25,2,0.3255,0.20,4224523
msr_proj_0,lru,shared,600,2,26,1,0.3379,0.35,4224524
msr_proj_0,lru,shared,600,2,26,2,0.3381,0.35,4224524
msr_proj_0,logbackoff,shared,600,2,26,1,0.3242,0.23,4224524
msr_proj_0,logbackoff,shared,600,2,26,2,0.3257,0.35,4224524
msr_proj_0,lru,shared,600,4,27,1,0.3462,0.71,4224524
msr_proj_0,lru,shared,600,4,27,2,0.3483,0.71,4224524
msr_proj_0,logbackoff,shared,600,4,27,1,0.3228,0.35,4224524
msr_proj_0,logbackoff,shared,600,4,27,2,0.3224,0.35,4224524
msr_proj_0,lru,shared,600,8,28,1,0.3616,0.72,4224524
msr_proj_0,lru,shared,600,8,28,2,0.3639,0.72,4224524
msr_proj_0,logbackoff,shared,600,8,28,1,0.3364,0.35,4224524
msr_proj_0,logbackoff,shared,600,8,28,2,0.3324,0.35,4224524
msr_proj_0,lru,shared,600,16,29,1,0.3831,0.73,4224524
msr_proj_0,lru,shared,600,16,29,2,0.3855,0.73,4224524
msr_proj_0,logbackoff,shared,600,16,29,1,0.3405,0.35,4224524
msr_proj_0,logbackoff,shared,600,16,29,2,0.3411,0.35,4224524
msr_proj_0,lru,shared,256,1,24,1,0.5108,0.20,4224523
msr_proj_0,lru,shared,256,1,24,2,0.5061,0.21,4224523
msr_proj_0,logbackoff,shared,256,1,24,1,0.4447,0.18,4224523
msr_proj_0,logbackoff,shared,256,1,24,2,0.4443,0.18,4224523
msr_proj_0,lru,shared,256,2,25,1,0.4999,0.40,4224524
msr_proj_0,lru,shared,256,2,25,2,0.4955,0.39,4224524
msr_proj_0,logbackoff,shared,256,2,25,1,0.4523,0.26,4224524
msr_proj_0,logbackoff,shared,256,2,25,2,0.4411,0.25,4224524
msr_proj_0,lru,shared,256,4,26,1,0.4964,0.78,4224524
msr_proj_0,lru,shared,256,4,26,2,0.4954,0.78,4224524
msr_proj_0,logbackoff,shared,256,4,26,1,0.4500,0.38,4224524
msr_proj_0,logbackoff,shared,256,4,26,2,0.4495,0.38,4224524
msr_proj_0,lru,shared,256,8,27,1,0.5006,0.79,4224524
msr_proj_0,lru,shared,256,8,27,2,0.5042,0.79,4224524
msr_proj_0,logbackoff,shared,256,8,27,1,0.4637,0.39,4224524
msr_proj_0,logbackoff,shared,256,8,27,2,0.4566,0.38,4224524
msr_proj_0,lru,shared,256,16,28,1,0.5199,0.80,4224524
msr_proj_0,lru,shared,256,16,28,2,0.5314,0.81,4224524
msr_proj_0,logbackoff,shared,256,16,28,1,0.4628,0.37,4224524
msr_proj_0,logbackoff,shared,256,16,28,2,0.4705,0.38,4224524
cache-t-00,lru,shared,1200,1,26,1,0.7543,0.27,9826680
cache-t-00,lru,shared,1200,1,26,2,0.7543,0.27,9826680
cache-t-00,logbackoff,shared,1200,1,26,1,0.7039,0.18,9826680
cache-t-00,logbackoff,shared,1200,1,26,2,0.7039,0.18,9826680
cache-t-00,lru,shared,1200,2,27,1,0.7544,0.43,9826681
cache-t-00,lru,shared,1200,2,27,2,0.7543,0.43,9826681
cache-t-00,logbackoff,shared,1200,2,27,1,0.7151,0.35,9826681
cache-t-00,logbackoff,shared,1200,2,27,2,0.7142,0.35,9826681
cache-t-00,lru,shared,1200,4,28,1,0.7544,0.72,9826681
cache-t-00,lru,shared,1200,4,28,2,0.7544,0.72,9826681
cache-t-00,logbackoff,shared,1200,4,28,1,0.7236,0.53,9826681
cache-t-00,logbackoff,shared,1200,4,28,2,0.7218,0.53,9826681
cache-t-00,lru,shared,1200,8,29,1,0.7791,1.09,9826681
cache-t-00,lru,shared,1200,8,29,2,0.7789,1.09,9826681
cache-t-00,logbackoff,shared,1200,8,29,1,0.7248,0.71,9826681
cache-t-00,logbackoff,shared,1200,8,29,2,0.7227,0.71,9826681
cache-t-00,lru,shared,1200,16,30,1,0.7809,2.14,9826681
cache-t-00,lru,shared,1200,16,30,2,0.7844,2.14,9826681
cache-t-00,logbackoff,shared,1200,16,30,1,0.7230,1.02,9826681
cache-t-00,logbackoff,shared,1200,16,30,2,0.7189,1.04,9826681
cache-t-00,lru,shared,600,1,25,1,0.8188,0.25,9826680
cache-t-00,lru,shared,600,1,25,2,0.8188,0.25,9826680
cache-t-00,logbackoff,shared,600,1,25,1,0.7625,0.17,9826680
cache-t-00,logbackoff,shared,600,1,25,2,0.7624,0.16,9826680
cache-t-00,lru,shared,600,2,26,1,0.9678,0.40,9826681
cache-t-00,lru,shared,600,2,26,2,0.9678,0.40,9826681
cache-t-00,logbackoff,shared,600,2,26,1,0.7745,0.31,9826681
cache-t-00,logbackoff,shared,600,2,26,2,0.7759,0.30,9826681
cache-t-00,lru,shared,600,4,27,1,0.8195,0.74,9826681
cache-t-00,lru,shared,600,4,27,2,0.8194,0.74,9826681
cache-t-00,logbackoff,shared,600,4,27,1,0.7832,0.55,9826681
cache-t-00,logbackoff,shared,600,4,27,2,0.7835,0.55,9826681
cache-t-00,lru,shared,600,8,28,1,0.8422,1.13,9826681
cache-t-00,lru,shared,600,8,28,2,0.8434,1.13,9826681
cache-t-00,logbackoff,shared,600,8,28,1,0.7855,0.73,9826681
cache-t-00,logbackoff,shared,600,8,28,2,0.7884,0.73,9826681
cache-t-00,lru,shared,600,16,29,1,0.8467,2.04,9826681
cache-t-00,lru,shared,600,16,29,2,0.8491,2.04,9826681
cache-t-00,logbackoff,shared,600,16,29,1,0.7900,0.73,9826681
cache-t-00,logbackoff,shared,600,16,29,2,0.7857,0.73,9826681
cache-t-00,lru,shared,512,1,25,1,0.8325,0.24,9826680
cache-t-00,lru,shared,512,1,25,2,0.8325,0.24,9826680
cache-t-00,logbackoff,shared,512,1,25,1,0.7760,0.15,9826680
cache-t-00,logbackoff,shared,512,1,25,2,0.7759,0.15,9826680
cache-t-00,lru,shared,512,2,26,1,0.9710,0.40,9826681
cache-t-00,lru,shared,512,2,26,2,0.9709,0.40,9826681
cache-t-00,logbackoff,shared,512,2,26,1,0.7850,0.31,9826681
cache-t-00,logbackoff,shared,512,2,26,2,0.7872,0.31,9826681
cache-t-00,lru,shared,512,4,27,1,0.8330,0.75,9826681
cache-t-00,lru,shared,512,4,27,2,0.8332,0.75,9826681
cache-t-00,logbackoff,shared,512,4,27,1,0.7942,0.54,9826681
