trace,algo,cache_mb,hashpower,miss_ratio
cluster26.oracleGeneral,lru,4,18,
cluster26.oracleGeneral,lru,8,19,0.9998
cluster26.oracleGeneral,lru,16,20,0.6029
cluster26.oracleGeneral,lru,32,21,0.3869
cluster26.oracleGeneral,lru,64,22,0.0904
cluster26.oracleGeneral,lru,128,23,0.0789
cluster26.oracleGeneral,lru,256,24,0.0781
cluster26.oracleGeneral,lru,512,25,0.0781
cluster26.oracleGeneral,lru,1024,26,0.0780
cluster26.oracleGeneral,lru,2048,27,0.0780
cluster26.oracleGeneral,lru,4096,28,0.0780
cluster26.oracleGeneral,lru,8192,29,0.0780
cluster10.oracleGeneral,lru,4,18,
cluster10.oracleGeneral,lru,8,19,0.4999
cluster10.oracleGeneral,lru,16,20,0.4999
cluster10.oracleGeneral,lru,32,21,0.4999
cluster10.oracleGeneral,lru,64,22,0.4998
cluster10.oracleGeneral,lru,128,23,0.4997
cluster10.oracleGeneral,lru,256,24,0.4995
cluster10.oracleGeneral,lru,512,25,0.4991
cluster10.oracleGeneral,lru,1024,26,0.4984
cluster10.oracleGeneral,lru,2048,27,0.4972
cluster10.oracleGeneral,lru,4096,28,0.4959
cluster10.oracleGeneral,lru,8192,29,0.4959
cluster50.oracleGeneral,lru,4,18,
cluster50.oracleGeneral,lru,8,19,0.5493
cluster50.oracleGeneral,lru,16,20,0.5365
cluster50.oracleGeneral,lru,32,21,0.5178
cluster50.oracleGeneral,lru,64,22,0.4923
cluster50.oracleGeneral,lru,128,23,0.4774
cluster50.oracleGeneral,lru,256,24,0.4748
cluster50.oracleGeneral,lru,512,25,0.4567
cluster50.oracleGeneral,lru,1024,26,0.4247
cluster50.oracleGeneral,lru,2048,27,0.3695
cluster50.oracleGeneral,lru,4096,28,0.2872
cluster50.oracleGeneral,lru,8192,29,0.1620
cluster53.oracleGeneral,lru,4,18,
cluster53.oracleGeneral,lru,8,19,0.9964
cluster53.oracleGeneral,lru,16,20,0.6443
cluster53.oracleGeneral,lru,32,21,0.5275
cluster53.oracleGeneral,lru,64,22,0.4472
cluster53.oracleGeneral,lru,128,23,0.2618
cluster53.oracleGeneral,lru,256,24,0.1730
cluster53.oracleGeneral,lru,512,25,0.1323
cluster53.oracleGeneral,lru,1024,26,0.1173
cluster53.oracleGeneral,lru,2048,27,0.0776
cluster53.oracleGeneral,lru,4096,28,0.0577
cluster53.oracleGeneral,lru,8192,29,0.0385
cluster45.oracleGeneral,lru,4,18,
cluster45.oracleGeneral,lru,8,19,0.6863
cluster45.oracleGeneral,lru,16,20,0.5799
cluster45.oracleGeneral,lru,32,21,0.4827
cluster45.oracleGeneral,lru,64,22,0.4822
cluster45.oracleGeneral,lru,128,23,0.4301
cluster45.oracleGeneral,lru,256,24,0.4044
cluster45.oracleGeneral,lru,512,25,0.3852
cluster45.oracleGeneral,lru,1024,26,0.3638
cluster45.oracleGeneral,lru,2048,27,0.3354
cluster45.oracleGeneral,lru,4096,28,0.2996
cluster45.oracleGeneral,lru,8192,29,0.2854
msr_proj_0.oracleGeneral,lru,4,18,
msr_proj_0.oracleGeneral,lru,8,19,0.8198
msr_proj_0.oracleGeneral,lru,16,20,0.7670
msr_proj_0.oracleGeneral,lru,32,21,0.7046
msr_proj_0.oracleGeneral,lru,64,22,0.6601
msr_proj_0.oracleGeneral,lru,128,23,0.6420
msr_proj_0.oracleGeneral,lru,256,24,0.5062
msr_proj_0.oracleGeneral,lru,512,25,0.3586
msr_proj_0.oracleGeneral,lru,1024,26,0.2836
msr_proj_0.oracleGeneral,lru,2048,27,0.1677
msr_proj_0.oracleGeneral,lru,4096,28,0.0995
msr_proj_0.oracleGeneral,lru,8192,29,0.0723
202206_kv_traces_all.csv.oracleGeneral,lru,4,18,
202206_kv_traces_all.csv.oracleGeneral,lru,8,19,0.9430
