branch,trace,mode,rate,threads,rep,miss,tp
perthread,cache-t-00,0,1.0,1,1,0.7761,0.19
perthread,cache-t-00,0,1.0,1,2,0.7760,0.18
perthread,cache-t-00,0,1.0,1,3,0.7762,0.18
perthread,cache-t-00,0,1.0,1,4,0.7758,0.19
perthread,cache-t-00,0,1.0,1,5,0.7758,0.19
perthread,cache-t-00,0,0.5,1,1,0.7816,0.20
perthread,cache-t-00,0,0.5,1,2,0.7803,0.20
perthread,cache-t-00,0,0.5,1,3,0.7805,0.20
perthread,cache-t-00,0,0.5,1,4,0.7805,0.20
perthread,cache-t-00,0,0.5,1,5,0.7800,0.20
perthread,cache-t-00,0,0.25,1,1,0.7877,0.22
perthread,cache-t-00,0,0.25,1,2,0.7879,0.21
perthread,cache-t-00,0,0.25,1,3,0.7879,0.21
perthread,cache-t-00,0,0.25,1,4,0.7882,0.22
perthread,cache-t-00,0,0.25,1,5,0.7876,0.22
perthread,cache-t-00,0,0.1,1,1,0.8006,0.23
perthread,cache-t-00,0,0.1,1,2,0.8010,0.22
perthread,cache-t-00,0,0.1,1,3,0.8007,0.22
perthread,cache-t-00,0,0.1,1,4,0.8006,0.22
perthread,cache-t-00,0,0.1,1,5,0.8007,0.22
perthread,cache-t-00,0,1.0,4,1,0.7721,0.62
perthread,cache-t-00,0,1.0,4,2,0.7723,0.62
perthread,cache-t-00,0,1.0,4,3,0.7721,0.62
perthread,cache-t-00,0,1.0,4,4,0.7722,0.62
perthread,cache-t-00,0,1.0,4,5,0.7724,0.62
perthread,cache-t-00,0,0.5,4,1,0.7760,0.67
perthread,cache-t-00,0,0.5,4,2,0.7759,0.67
perthread,cache-t-00,0,0.5,4,3,0.7759,0.67
perthread,cache-t-00,0,0.5,4,4,0.7759,0.67
perthread,cache-t-00,0,0.5,4,5,0.7759,0.67
perthread,cache-t-00,0,0.25,4,1,0.7826,0.73
perthread,cache-t-00,0,0.25,4,2,0.7826,0.73
perthread,cache-t-00,0,0.25,4,3,0.7823,0.73
perthread,cache-t-00,0,0.25,4,4,0.7822,0.73
perthread,cache-t-00,0,0.25,4,5,0.7827,0.73
perthread,cache-t-00,0,0.1,4,1,0.7946,0.73
perthread,cache-t-00,0,0.1,4,2,0.7948,0.73
perthread,cache-t-00,0,0.1,4,3,0.7949,0.73
perthread,cache-t-00,0,0.1,4,4,0.7946,0.73
perthread,cache-t-00,0,0.1,4,5,0.7947,0.73
perthread,cache-t-00,0,1.0,8,1,0.7718,0.97
perthread,cache-t-00,0,1.0,8,2,0.7718,0.98
perthread,cache-t-00,0,1.0,8,3,0.7718,0.97
perthread,cache-t-00,0,1.0,8,4,0.7722,0.98
perthread,cache-t-00,0,1.0,8,5,0.7720,0.97
perthread,cache-t-00,0,0.5,8,1,0.7752,1.06
perthread,cache-t-00,0,0.5,8,2,0.7748,1.04
perthread,cache-t-00,0,0.5,8,3,0.7750,1.05
perthread,cache-t-00,0,0.5,8,4,0.7751,1.05
perthread,cache-t-00,0,0.5,8,5,0.7751,1.06
perthread,cache-t-00,0,0.25,8,1,0.7822,1.15
perthread,cache-t-00,0,0.25,8,2,0.7823,1.15
perthread,cache-t-00,0,0.25,8,3,0.7823,1.15
perthread,cache-t-00,0,0.25,8,4,0.7823,1.15
perthread,cache-t-00,0,0.25,8,5,0.7822,1.15
perthread,cache-t-00,0,0.1,8,1,0.7944,1.17
perthread,cache-t-00,0,0.1,8,2,0.7944,1.17
perthread,cache-t-00,0,0.1,8,3,0.7941,1.17
perthread,cache-t-00,0,0.1,8,4,0.7942,1.17
perthread,cache-t-00,0,0.1,8,5,0.7944,1.17
perthread,cache-t-00,0,1.0,16,1,0.7745,1.25
perthread,cache-t-00,0,1.0,16,2,0.7746,1.24
perthread,cache-t-00,0,1.0,16,3,0.7745,1.25
perthread,cache-t-00,0,1.0,16,4,0.7747,1.24
perthread,cache-t-00,0,1.0,16,5,0.7746,1.25
perthread,cache-t-00,0,0.5,16,1,0.7769,1.27
perthread,cache-t-00,0,0.5,16,2,0.7770,1.28
perthread,cache-t-00,0,0.5,16,3,0.7769,1.27
perthread,cache-t-00,0,0.5,16,4,0.7771,1.28
perthread,cache-t-00,0,0.5,16,5,0.7771,1.27
perthread,cache-t-00,0,0.25,16,1,0.7820,1.32
perthread,cache-t-00,0,0.25,16,2,0.7821,1.31
perthread,cache-t-00,0,0.25,16,3,0.7821,1.32
perthread,cache-t-00,0,0.25,16,4,0.7820,1.31
perthread,cache-t-00,0,0.25,16,5,0.7820,1.33
perthread,cache-t-00,0,0.1,16,1,0.7934,1.30
perthread,cache-t-00,0,0.1,16,2,0.7936,1.32
perthread,cache-t-00,0,0.1,16,3,0.7934,1.30
perthread,cache-t-00,0,0.1,16,4,0.7937,1.33
perthread,cache-t-00,0,0.1,16,5,0.7934,1.30
perthread,msr_proj_0,0,1.0,1,1,0.4483,0.20
perthread,msr_proj_0,0,1.0,1,2,0.4484,0.20
perthread,msr_proj_0,0,1.0,1,3,0.4482,0.19
perthread,msr_proj_0,0,1.0,1,4,0.4475,0.19
perthread,msr_proj_0,0,1.0,1,5,0.4414,0.19
perthread,msr_proj_0,0,0.5,1,1,0.4628,0.21
perthread,msr_proj_0,0,0.5,1,2,0.4552,0.20
perthread,msr_proj_0,0,0.5,1,3,0.4541,0.21
perthread,msr_proj_0,0,0.5,1,4,0.4583,0.21
perthread,msr_proj_0,0,0.5,1,5,0.4541,0.21
perthread,msr_proj_0,0,0.25,1,1,0.4595,0.21
perthread,msr_proj_0,0,0.25,1,2,0.4621,0.21
perthread,msr_proj_0,0,0.25,1,3,0.4580,0.21
perthread,msr_proj_0,0,0.25,1,4,0.4619,0.21
perthread,msr_proj_0,0,0.25,1,5,0.4585,0.21
perthread,msr_proj_0,0,0.1,1,1,0.4708,0.21
perthread,msr_proj_0,0,0.1,1,2,0.4703,0.21
perthread,msr_proj_0,0,0.1,1,3,0.4705,0.21
perthread,msr_proj_0,0,0.1,1,4,0.4708,0.21
perthread,msr_proj_0,0,0.1,1,5,0.4704,0.21
perthread,msr_proj_0,0,1.0,4,1,0.4027,0.49
perthread,msr_proj_0,0,1.0,4,2,0.4014,0.49
perthread,msr_proj_0,0,1.0,4,3,0.4000,0.49
perthread,msr_proj_0,0,1.0,4,4,0.4014,0.49
perthread,msr_proj_0,0,1.0,4,5,0.4022,0.49
perthread,msr_proj_0,0,0.5,4,1,0.4075,0.57
perthread,msr_proj_0,0,0.5,4,2,0.4065,0.58
perthread,msr_proj_0,0,0.5,4,3,0.4045,0.59
perthread,msr_proj_0,0,0.5,4,4,0.4035,0.59
