mode,sample_rate,rep,miss_ratio,mqps
0,1.0,1,0.8211,0.20
0,1.0,2,0.8211,0.21
0,1.0,3,0.8212,0.21
0,0.5,1,0.8217,0.21
0,0.5,2,0.8218,0.22
0,0.5,3,0.8217,0.22
0,0.25,1,0.8229,0.22
0,0.25,2,0.8230,0.22
0,0.25,3,0.8230,0.22
0,0.1,1,0.8256,0.23
0,0.1,2,0.8255,0.23
0,0.1,3,0.8256,0.23
0,0.05,1,0.8277,0.23
0,0.05,2,0.8278,0.23
0,0.05,3,0.8277,0.23
0,0.01,1,0.8313,0.23
0,0.01,2,0.8313,0.23
0,0.01,3,0.8312,0.23
1,1.0,1,0.8212,0.21
1,1.0,2,0.8211,0.20
1,1.0,3,0.8211,0.21
1,0.5,1,0.8274,0.22
1,0.5,2,0.8276,0.22
1,0.5,3,0.8276,0.22
1,0.25,1,0.8304,0.22
1,0.25,2,0.8301,0.23
1,0.25,3,0.8301,0.22
1,0.1,1,0.8318,0.23
1,0.1,2,0.8319,0.23
1,0.1,3,0.8319,0.23
1,0.05,1,0.8322,0.23
1,0.05,2,0.8322,0.23
1,0.05,3,0.8321,0.23
1,0.01,1,0.8325,0.23
1,0.01,2,0.8325,0.23
1,0.01,3,0.8325,0.23
2,1.0,1,0.8211,0.21
2,1.0,2,0.8211,0.21
2,1.0,3,0.8212,0.20
2,0.5,1,0.8217,0.22
2,0.5,2,0.8217,0.21
2,0.5,3,0.8217,0.22
2,0.25,1,0.8229,0.22
2,0.25,2,0.8230,0.22
2,0.25,3,0.8229,0.22
2,0.1,1,0.8256,0.23
2,0.1,2,0.8257,0.23
2,0.1,3,0.8256,0.23
2,0.05,1,0.8276,0.23
2,0.05,2,0.8276,0.23
2,0.05,3,0.8276,0.23
2,0.01,1,0.8313,0.23
2,0.01,2,0.8313,0.23
2,0.01,3,0.8313,0.23
