mode,rate,t,rep,miss,tp
0,1.0,1,1,0.7759,0.18
0,1.0,1,2,0.7760,0.18
0,0.5,1,1,0.7808,0.20
0,0.5,1,2,0.7802,0.20
0,0.25,1,1,0.7877,0.21
0,0.25,1,2,0.7879,0.21
0,1.0,4,1,0.7720,0.62
0,1.0,4,2,0.7722,0.62
0,0.5,4,1,0.7760,0.67
0,0.5,4,2,0.7760,0.67
0,0.25,4,1,0.7823,0.73
0,0.25,4,2,0.7824,0.73
0,1.0,8,1,0.7724,1.04
0,1.0,8,2,0.7729,1.05
0,0.5,8,1,0.7762,1.18
0,0.5,8,2,0.7765,1.17
0,0.25,8,1,0.7824,1.29
0,0.25,8,2,0.7826,1.29
0,1.0,16,1,0.7747,1.47
0,1.0,16,2,0.7748,1.46
0,0.5,16,1,0.7776,1.61
0,0.5,16,2,0.7776,1.61
0,0.25,16,1,0.7829,1.73
0,0.25,16,2,0.7829,1.73
