mode,sample_rate,rep,miss_ratio,mqps
0,1.0,1,0.7759,0.17
0,1.0,2,0.7759,0.17
0,1.0,3,0.7761,0.18
0,0.5,1,0.7808,0.19
0,0.5,2,0.7805,0.19
0,0.5,3,0.7807,0.19
0,0.25,1,0.7880,0.20
0,0.25,2,0.7877,0.20
0,0.25,3,0.7878,0.20
0,0.1,1,0.8007,0.21
0,0.1,2,0.8010,0.21
0,0.1,3,0.8010,0.22
0,0.05,1,0.8110,0.22
0,0.05,2,0.8109,0.22
0,0.05,3,0.8110,0.21
0,0.01,1,0.8272,0.23
0,0.01,2,0.8271,0.23
0,0.01,3,0.8272,0.23
1,1.0,1,0.7761,0.17
1,1.0,2,0.7761,0.17
1,1.0,3,0.7761,0.17
1,0.5,1,0.8077,0.19
1,0.5,2,0.8070,0.20
1,0.5,3,0.8077,0.19
1,0.25,1,0.8223,0.21
1,0.25,2,0.8224,0.21
1,0.25,3,0.8218,0.21
1,0.1,1,0.8292,0.22
1,0.1,2,0.8292,0.22
1,0.1,3,0.8290,0.22
1,0.05,1,0.8311,0.22
1,0.05,2,0.8311,0.22
1,0.05,3,0.8311,0.22
1,0.01,1,0.8325,0.22
1,0.01,2,0.8325,0.22
1,0.01,3,0.8325,0.22
