branch,trace,policy,size_mb,hp,threads,rep,miss,tp,requests
perthread,cache-t-00,lruforgive,512,25,1,1,0.7760,0.18,9826680
perthread,cache-t-00,lruforgive,512,25,1,2,0.7761,0.17,9826680
perthread,cache-t-00,lruforgive,512,25,1,3,0.7762,0.18,9826680
perthread,cache-t-00,lruforgive,1024,26,2,1,0.7734,0.34,19653360
perthread,cache-t-00,lruforgive,1024,26,2,2,0.7726,0.33,19653360
perthread,cache-t-00,lruforgive,1024,26,2,3,0.7724,0.33,19653360
perthread,cache-t-00,lruforgive,2048,27,4,1,0.7723,0.62,39306720
perthread,cache-t-00,lruforgive,2048,27,4,2,0.7723,0.66,39306720
perthread,cache-t-00,lruforgive,2048,27,4,3,0.7723,0.66,39306720
perthread,cache-t-00,lruforgive,4096,28,8,1,0.7724,1.02,75133400
perthread,cache-t-00,lruforgive,4096,28,8,2,0.7720,1.01,76133400
perthread,cache-t-00,lruforgive,4096,28,8,3,0.7730,1.05,76133400
perthread,cache-t-00,lruforgive,8192,29,16,1,0.7748,1.45,145306720
perthread,cache-t-00,lruforgive,8192,29,16,2,0.7749,1.46,145306720
perthread,cache-t-00,lruforgive,8192,29,16,3,0.7748,1.46,145306720
perthread,cache-t-00,s3fifoforgive,512,25,1,1,0.7679,0.34,9826680
perthread,cache-t-00,s3fifoforgive,512,25,1,2,0.7678,0.32,9826680
perthread,cache-t-00,s3fifoforgive,512,25,1,3,0.7679,0.34,9826680
perthread,cache-t-00,lru,512,25,1,1,0.8325,0.24,9826680
perthread,cache-t-00,lru,512,25,1,2,0.8325,0.26,9826680
perthread,cache-t-00,lru,512,25,1,3,0.8325,0.24,9826680
perthread,cache-t-00,lru,1024,26,2,1,0.8938,0.47,17826680
perthread,cache-t-00,lru,1024,26,2,2,0.9849,0.44,19653360
perthread,cache-t-00,lru,1024,26,2,3,0.9848,0.44,19653360
perthread,cache-t-00,lru,2048,27,4,1,0.8253,0.90,39306720
perthread,cache-t-00,lru,2048,27,4,2,0.8255,0.90,39306720
perthread,cache-t-00,lru,2048,27,4,3,0.8256,0.90,39306720
perthread,cache-t-00,lru,4096,28,8,1,0.8249,1.74,76133400
perthread,cache-t-00,lru,4096,28,8,2,0.8249,1.74,76133400
perthread,cache-t-00,lru,4096,28,8,3,0.8248,1.74,76133400
perthread,cache-t-00,lru,8192,29,16,1,0.8223,2.21,133306720
perthread,cache-t-00,lru,8192,29,16,2,0.8225,2.25,133306720
perthread,cache-t-00,lru,8192,29,16,3,0.8224,2.23,133306720
perthread,cache-t-00,s3fifo,512,25,1,1,0.7750,0.42,9826680
perthread,cache-t-00,s3fifo,512,25,1,2,0.7750,0.45,9826680
perthread,cache-t-00,s3fifo,512,25,1,3,0.7751,0.43,9826680
perthread,cache-t-00,lruforgive,600,25,1,1,0.7623,0.19,9826680
perthread,cache-t-00,lruforgive,600,25,1,2,0.7620,0.17,9826680
perthread,cache-t-00,lruforgive,600,25,1,3,0.7623,0.19,9826680
perthread,cache-t-00,lruforgive,1200,26,2,1,0.7604,0.36,19653360
perthread,cache-t-00,lruforgive,1200,26,2,2,0.7597,0.36,19653360
perthread,cache-t-00,lruforgive,1200,26,2,3,0.7605,0.33,19653360
perthread,cache-t-00,lruforgive,2400,27,4,1,0.7595,0.66,39306720
perthread,cache-t-00,lruforgive,2400,27,4,2,0.7596,0.67,39306720
perthread,cache-t-00,lruforgive,2400,27,4,3,0.7595,0.66,39306720
perthread,cache-t-00,lruforgive,4800,28,8,1,0.7597,1.05,76133400
