branch,trace,policy,size_mb,hp,threads,rep,miss,tp,requests
single-manager,cache-t-00,lruforgive,512,25,1,1,0.7756,0.17,9826680
single-manager,cache-t-00,lruforgive,512,25,1,2,0.7757,0.16,9826680
single-manager,cache-t-00,lruforgive,512,25,1,3,0.7756,0.17,9826680
single-manager,cache-t-00,lruforgive,1024,26,2,1,0.7788,0.32,18826681
single-manager,cache-t-00,lruforgive,1024,26,2,2,0.7789,0.32,18826681
single-manager,cache-t-00,lruforgive,1024,26,2,3,0.7787,0.32,18826681
single-manager,cache-t-00,lruforgive,2048,27,4,1,0.7873,0.66,38480043
single-manager,cache-t-00,lruforgive,2048,27,4,2,0.7875,0.66,38480043
single-manager,cache-t-00,lruforgive,2048,27,4,3,0.7872,0.66,38480043
single-manager,cache-t-00,lruforgive,4096,28,8,1,0.7969,1.05,76133405
single-manager,cache-t-00,lruforgive,4096,28,8,2,0.7971,1.05,76133405
single-manager,cache-t-00,lruforgive,4096,28,8,3,0.7972,1.04,76133405
single-manager,cache-t-00,lruforgive,8192,29,16,1,0.8094,1.56,145306724
single-manager,cache-t-00,lruforgive,8192,29,16,2,0.8093,1.56,145306724
single-manager,cache-t-00,lruforgive,8192,29,16,3,0.8092,1.55,145306724
single-manager,cache-t-00,s3fifoforgive,512,25,1,1,0.7679,0.28,9826680
single-manager,cache-t-00,s3fifoforgive,512,25,1,2,0.7679,0.29,9826680
single-manager,cache-t-00,s3fifoforgive,512,25,1,3,0.7679,0.28,9826680
single-manager,cache-t-00,lruforgive,600,25,1,1,0.7621,0.16,9826680
single-manager,cache-t-00,lruforgive,600,25,1,2,0.7622,0.16,9826680
single-manager,cache-t-00,lruforgive,600,25,1,3,0.7624,0.16,9826680
single-manager,cache-t-00,lruforgive,1200,26,2,1,0.7692,0.33,19653362
single-manager,cache-t-00,lruforgive,1200,26,2,2,0.7687,0.33,19653362
single-manager,cache-t-00,lruforgive,1200,26,2,3,0.7698,0.36,19653362
single-manager,cache-t-00,lruforgive,2400,27,4,1,0.7773,0.67,39306724
single-manager,cache-t-00,lruforgive,2400,27,4,2,0.7774,0.67,39306724
single-manager,cache-t-00,lruforgive,2400,27,4,3,0.7773,0.67,39306724
single-manager,cache-t-00,lruforgive,4800,28,8,1,0.7871,1.07,76133405
single-manager,cache-t-00,lruforgive,4800,28,8,2,0.7871,1.06,76133405
single-manager,cache-t-00,lruforgive,4800,28,8,3,0.7873,1.06,76133405
single-manager,cache-t-00,lruforgive,9600,29,16,1,0.7973,1.51,149440129
single-manager,cache-t-00,lruforgive,9600,29,16,2,0.7975,1.50,148613448
single-manager,cache-t-00,lruforgive,9600,29,16,3,0.7993,1.53,145306724
single-manager,cache-t-00,s3fifoforgive,600,25,1,1,0.7542,0.27,9826680
single-manager,cache-t-00,s3fifoforgive,600,25,1,2,0.7538,0.25,9826680
single-manager,cache-t-00,s3fifoforgive,600,25,1,3,0.7537,0.27,9826680
single-manager,cache-t-00,lruforgive,1200,26,1,1,0.7036,0.18,9826680
single-manager,cache-t-00,lruforgive,1200,26,1,2,0.7035,0.19,9826680
single-manager,cache-t-00,lruforgive,1200,26,1,3,0.7044,0.18,9826680
single-manager,cache-t-00,lruforgive,2400,27,2,1,0.7194,0.35,19653362
single-manager,cache-t-00,lruforgive,2400,27,2,2,0.7191,0.38,19653362
single-manager,cache-t-00,lruforgive,2400,27,2,3,0.7200,0.35,19653362
single-manager,cache-t-00,lruforgive,4800,28,4,1,0.7291,0.71,39306724
single-manager,cache-t-00,lruforgive,4800,28,4,2,0.7291,0.71,39306724
single-manager,cache-t-00,lruforgive,4800,28,4,3,0.7294,0.71,39306724
single-manager,cache-t-00,lruforgive,9600,29,8,1,0.7392,1.08,75133405
single-manager,cache-t-00,lruforgive,9600,29,8,2,0.7392,1.09,75133405
single-manager,cache-t-00,lruforgive,9600,29,8,3,0.7383,1.06,76133405
single-manager,cache-t-00,lruforgive,19200,30,16,1,0.7470,1.41,155573534
single-manager,cache-t-00,lruforgive,19200,30,16,2,0.7471,1.43,154573534
single-manager,cache-t-00,lruforgive,19200,30,16,3,0.7472,1.42,154573534
single-manager,cache-t-00,s3fifoforgive,1200,26,1,1,0.6868,0.22,9826680
single-manager,cache-t-00,s3fifoforgive,1200,26,1,2,0.6867,0.20,9826680
single-manager,cache-t-00,s3fifoforgive,1200,26,1,3,0.6867,0.22,9826680
single-manager,msr_proj_0,lruforgive,256,24,1,1,0.4412,0.17,4224523
single-manager,msr_proj_0,lruforgive,256,24,1,2,0.4416,0.17,4224523
single-manager,msr_proj_0,lruforgive,256,24,1,3,0.4416,0.17,4224523
single-manager,msr_proj_0,lruforgive,512,25,2,1,0.4218,0.30,8449048
single-manager,msr_proj_0,lruforgive,512,25,2,2,0.4213,0.30,8449048
single-manager,msr_proj_0,lruforgive,512,25,2,3,0.4224,0.30,8449048
single-manager,msr_proj_0,lruforgive,1024,26,4,1,0.4182,0.41,16224524
single-manager,msr_proj_0,lruforgive,1024,26,4,2,0.4174,0.42,16449048
single-manager,msr_proj_0,lruforgive,1024,26,4,3,0.4149,0.42,16673572
single-manager,msr_proj_0,lruforgive,2048,27,8,1,0.4165,0.39,32449048
single-manager,msr_proj_0,lruforgive,2048,27,8,2,0.4136,0.39,32224524
single-manager,msr_proj_0,lruforgive,2048,27,8,3,0.4191,0.39,32224524
single-manager,msr_proj_0,lruforgive,4096,28,16,1,0.4193,0.35,64673572
single-manager,msr_proj_0,lruforgive,4096,28,16,2,0.4159,0.35,63224524
single-manager,msr_proj_0,lruforgive,4096,28,16,3,0.4176,0.34,64224524
single-manager,msr_proj_0,s3fifoforgive,256,24,1,1,0.4122,0.36,4224523
single-manager,msr_proj_0,s3fifoforgive,256,24,1,2,0.4204,0.38,4224523
single-manager,msr_proj_0,s3fifoforgive,256,24,1,3,0.4128,0.35,4224523
single-manager,msr_proj_0,lruforgive,600,25,1,1,0.3270,0.21,4224523
single-manager,msr_proj_0,lruforgive,600,25,1,2,0.3241,0.19,4224523
single-manager,msr_proj_0,lruforgive,600,25,1,3,0.3245,0.20,4224523
single-manager,msr_proj_0,lruforgive,1200,26,2,1,0.3217,0.28,8449048
single-manager,msr_proj_0,lruforgive,1200,26,2,2,0.3215,0.28,8449048
single-manager,msr_proj_0,lruforgive,1200,26,2,3,0.3216,0.28,8449048
single-manager,msr_proj_0,lruforgive,2400,27,4,1,0.3259,0.43,16224524
single-manager,msr_proj_0,lruforgive,2400,27,4,2,0.3257,0.39,16449048
single-manager,msr_proj_0,lruforgive,2400,27,4,3,0.3253,0.39,16449048
single-manager,msr_proj_0,lruforgive,4800,28,8,1,0.3271,0.35,32224524
single-manager,msr_proj_0,lruforgive,4800,28,8,2,0.3291,0.35,32224524
single-manager,msr_proj_0,lruforgive,4800,28,8,3,0.3298,0.35,32224524
single-manager,msr_proj_0,lruforgive,9600,29,16,1,0.3297,0.30,64224524
single-manager,msr_proj_0,lruforgive,9600,29,16,2,0.3291,0.31,64673572
single-manager,msr_proj_0,lruforgive,9600,29,16,3,0.3279,0.30,64224524
single-manager,msr_proj_0,s3fifoforgive,600,25,1,1,0.3083,0.28,4224523
single-manager,msr_proj_0,s3fifoforgive,600,25,1,2,0.3084,0.31,4224523
single-manager,msr_proj_0,s3fifoforgive,600,25,1,3,0.3072,0.28,4224523
single-manager,msr_proj_0,lruforgive,1200,26,1,1,0.2415,0.23,4224523
single-manager,msr_proj_0,lruforgive,1200,26,1,2,0.2417,0.21,4224523
single-manager,msr_proj_0,lruforgive,1200,26,1,3,0.2413,0.22,4224523
single-manager,msr_proj_0,lruforgive,2400,27,2,1,0.2405,0.33,8449048
single-manager,msr_proj_0,lruforgive,2400,27,2,2,0.2405,0.33,8449048
single-manager,msr_proj_0,lruforgive,2400,27,2,3,0.2405,0.33,8449048
single-manager,msr_proj_0,lruforgive,4800,28,4,1,0.2435,0.43,16449048
single-manager,msr_proj_0,lruforgive,4800,28,4,2,0.2419,0.43,16898096
single-manager,msr_proj_0,lruforgive,4800,28,4,3,0.2445,0.43,16449048
single-manager,msr_proj_0,lruforgive,9600,29,8,1,0.2458,0.32,32449048
single-manager,msr_proj_0,lruforgive,9600,29,8,2,0.2458,0.32,32224524
single-manager,msr_proj_0,lruforgive,9600,29,8,3,0.2452,0.31,32224524
single-manager,msr_proj_0,lruforgive,19200,30,16,1,0.2486,0.29,64224524
single-manager,msr_proj_0,lruforgive,19200,30,16,2,0.2485,0.30,64449048
single-manager,msr_proj_0,lruforgive,19200,30,16,3,0.2463,0.29,64224524
single-manager,msr_proj_0,s3fifoforgive,1200,26,1,1,0.2184,0.25,4224523
single-manager,msr_proj_0,s3fifoforgive,1200,26,1,2,0.2182,0.23,4224523
single-manager,msr_proj_0,s3fifoforgive,1200,26,1,3,0.2181,0.24,4224523
single-manager,cluster53,lruforgive,128,23,1,1,0.2426,0.34,246508261
single-manager,cluster53,lruforgive,128,23,1,2,0.2426,0.32,246508261
single-manager,cluster53,lruforgive,128,23,1,3,0.2426,0.35,246508261
single-manager,cluster53,lruforgive,256,24,2,1,0.2399,0.49,493016524
single-manager,cluster53,lruforgive,256,24,2,2,0.2412,0.49,492508262
single-manager,cluster53,lruforgive,256,24,2,3,0.2408,0.49,492508262
single-manager,cluster53,lruforgive,512,25,4,1,NA,NA,NA
single-manager,cluster53,lruforgive,512,25,4,2,NA,NA,NA
single-manager,cluster53,lruforgive,512,25,4,3,NA,NA,NA
single-manager,cluster53,lruforgive,1024,26,8,1,NA,NA,NA
single-manager,cluster53,lruforgive,1024,26,8,2,NA,NA,NA
single-manager,cluster53,lruforgive,1024,26,8,3,NA,NA,NA
single-manager,cluster53,lruforgive,2048,27,16,1,NA,0.58,771935471
single-manager,cluster53,lruforgive,2048,27,16,2,NA,0.59,777289217
single-manager,cluster53,lruforgive,2048,27,16,3,NA,0.59,776450942
single-manager,cluster53,s3fifoforgive,128,23,1,1,0.2329,0.41,246508261
single-manager,cluster53,s3fifoforgive,128,23,1,2,0.2329,0.44,246508261
single-manager,cluster53,s3fifoforgive,128,23,1,3,0.2329,0.41,246508261
single-manager,cluster53,lruforgive,600,25,1,1,0.1276,0.40,246508261
single-manager,cluster53,lruforgive,600,25,1,2,0.1276,0.36,246508261
single-manager,cluster53,lruforgive,600,25,1,3,0.1276,0.40,246508261
single-manager,cluster53,lruforgive,1200,26,2,1,0.1542,0.52,485508262
single-manager,cluster53,lruforgive,1200,26,2,2,0.1555,0.49,458508262
single-manager,cluster53,lruforgive,1200,26,2,3,0.1554,0.50,457508262
single-manager,cluster53,lruforgive,2400,27,4,1,NA,NA,NA
single-manager,cluster53,lruforgive,2400,27,4,2,NA,NA,NA
single-manager,cluster53,lruforgive,2400,27,4,3,NA,NA,NA
single-manager,cluster53,lruforgive,4800,28,8,1,NA,NA,NA
single-manager,cluster53,lruforgive,4800,28,8,2,NA,NA,NA
single-manager,cluster53,lruforgive,4800,28,8,3,NA,NA,NA
single-manager,cluster53,lruforgive,9600,29,16,1,NA,NA,NA
single-manager,cluster53,lruforgive,9600,29,16,2,NA,NA,NA
single-manager,cluster53,lruforgive,9600,29,16,3,NA,NA,NA
single-manager,cluster53,s3fifoforgive,600,25,1,1,0.1213,0.41,246508261
single-manager,cluster53,s3fifoforgive,600,25,1,2,0.1213,0.38,246508261
single-manager,cluster53,s3fifoforgive,600,25,1,3,0.1213,0.43,246508261
single-manager,cluster53,lruforgive,1200,26,1,1,0.0947,0.35,246508261
single-manager,cluster53,lruforgive,1200,26,1,2,0.0947,0.41,246508261
single-manager,cluster53,lruforgive,1200,26,1,3,0.0947,0.38,246508261
single-manager,cluster53,lruforgive,2400,27,2,1,0.1048,0.51,490508262
single-manager,cluster53,lruforgive,2400,27,2,2,0.1062,0.48,461508262
single-manager,cluster53,lruforgive,2400,27,2,3,0.1065,0.49,473508262
single-manager,cluster53,lruforgive,4800,28,4,1,NA,NA,NA
single-manager,cluster53,lruforgive,4800,28,4,2,NA,NA,NA
single-manager,cluster53,lruforgive,4800,28,4,3,NA,NA,NA
single-manager,cluster53,lruforgive,9600,29,8,1,NA,NA,NA
single-manager,cluster53,lruforgive,9600,29,8,2,NA,NA,NA
single-manager,cluster53,lruforgive,9600,29,8,3,NA,NA,NA
single-manager,cluster53,lruforgive,19200,30,16,1,0.123,0.51,796855589
single-manager,cluster53,lruforgive,19200,30,16,2,0.1235,0.51,791454618
single-manager,cluster53,lruforgive,19200,30,16,3,0.1234,0.51,792772086
single-manager,cluster53,s3fifoforgive,1200,26,1,1,0.0910,0.42,246508261
single-manager,cluster53,s3fifoforgive,1200,26,1,2,0.0910,0.39,246508261
single-manager,cluster53,s3fifoforgive,1200,26,1,3,0.0910,0.38,246508261
single-manager,msr_prxy_1,lruforgive,256,24,1,1,0.1948,0.41,168638963
single-manager,msr_prxy_1,lruforgive,256,24,1,2,0.1989,0.41,168638963
single-manager,msr_prxy_1,lruforgive,256,24,1,3,0.1960,0.41,168638963
single-manager,msr_prxy_1,lruforgive,512,25,2,1,0.0135,0.56,310638964
single-manager,msr_prxy_1,lruforgive,512,25,2,2,0.0136,0.57,312638964
single-manager,msr_prxy_1,lruforgive,512,25,2,3,0.0135,0.56,310638964
single-manager,msr_prxy_1,lruforgive,1024,26,4,1,0.0131,0.56,665638964
single-manager,msr_prxy_1,lruforgive,1024,26,4,2,0.0131,0.56,664277928
single-manager,msr_prxy_1,lruforgive,1024,26,4,3,0.0131,0.57,660638964
single-manager,msr_prxy_1,lruforgive,2048,27,8,1,NA,NA,NA
single-manager,msr_prxy_1,lruforgive,2048,27,8,2,NA,NA,NA
single-manager,msr_prxy_1,lruforgive,2048,27,8,3,NA,NA,NA
single-manager,msr_prxy_1,lruforgive,4096,28,16,1,NA,NA,NA
single-manager,msr_prxy_1,lruforgive,4096,28,16,2,NA,NA,NA
single-manager,msr_prxy_1,lruforgive,4096,28,16,3,NA,NA,NA
single-manager,msr_prxy_1,s3fifoforgive,256,24,1,1,0.1144,0.49,168638963
single-manager,msr_prxy_1,s3fifoforgive,256,24,1,2,NA,NA,NA
single-manager,msr_prxy_1,s3fifoforgive,256,24,1,3,0.1145,0.49,168638963
single-manager,msr_prxy_1,lruforgive,600,25,1,1,0.0030,0.71,168638963
single-manager,msr_prxy_1,lruforgive,600,25,1,2,0.0030,0.71,168638963
single-manager,msr_prxy_1,lruforgive,600,25,1,3,0.0030,0.70,168638963
single-manager,msr_prxy_1,lruforgive,1200,26,2,1,0.0029,0.59,327638964
single-manager,msr_prxy_1,lruforgive,1200,26,2,2,0.0028,0.56,310638964
single-manager,msr_prxy_1,lruforgive,1200,26,2,3,0.0029,0.56,311638964
