dataset,trace,cache_pct,lru,lruforgive,lru_gap_pp,s3fifo,s3fifoforgive,s3_gap_pp
?,tencentBlock_10004,10,0.5342,0.5270,0.720,0.5212,0.5212,0.005
?,tencentBlock_10007,10,0.2375,0.2340,0.350,0.2237,0.2235,0.020
?,tencentBlock_10011,10,0.6276,0.5557,7.190,0.4314,0.4951,-6.370
?,tencentBlock_10021,10,0.2726,0.2704,0.220,0.2646,,
?,tencentBlock_10022,10,0.2085,0.2047,0.380,0.1984,0.1986,-0.020
?,tencentBlock_10029,10,0.6724,0.6716,0.080,0.6208,0.6207,0.010
?,tencentBlock_10031,10,0.1976,0.1976,0.000,0.2030,0.2030,0.000
?,tencentBlock_10039,10,0.5123,0.5111,0.120,0.5002,0.5012,-0.100
?,tencentBlock_10044,10,0.3155,0.3106,0.490,0.3012,0.3012,0.000
?,tencentBlock_10048,10,0.2492,0.2494,-0.020,0.2545,0.2546,-0.005
?,tencentBlock_10053,10,0.2467,0.2239,2.280,0.1969,0.2217,-2.480
?,tencentBlock_10062,10,0.1972,0.1932,0.400,0.1843,0.1844,-0.010
?,tencentBlock_10069,10,0.1176,0.1176,0.000,0.1176,0.1176,0.000
?,tencentBlock_10074,10,0.4740,0.4724,0.160,0.4684,0.4678,0.060
?,tencentBlock_10079,10,0.1362,0.1264,0.980,0.1248,0.1270,-0.220
?,tencentBlock_10086,10,0.3891,0.3869,0.220,0.3534,0.3526,0.080
?,tencentBlock_10095,10,0.1581,0.1561,0.200,0.1473,0.1474,-0.005
?,tencentBlock_10108,10,0.1109,0.1084,0.250,0.1043,0.1038,0.050
?,tencentBlock_10116,10,0.0056,0.0043,0.130,0.0045,0.0044,0.010
?,tencentBlock_10119,10,0.2319,0.2307,0.120,0.2241,0.2241,0.000
?,tencentBlock_10120,10,0.3516,0.3519,-0.030,0.3249,0.3248,0.010
?,tencentBlock_10124,10,0.2047,0.2031,0.160,0.1948,0.1947,0.010
?,tencentBlock_10127,10,0.1613,0.1613,0.000,0.1574,0.1574,0.000
?,tencentBlock_10134,10,0.0605,0.0602,0.030,0.0512,0.0512,0.000
?,tencentBlock_10143,10,0.0774,0.0766,0.080,0.0748,0.0748,0.000
?,tencentBlock_10149,10,0.4022,0.4022,0.000,0.4020,0.4020,0.000
?,tencentBlock_10156,10,0.1720,0.1720,0.000,0.1702,0.1705,-0.030
?,tencentBlock_10176,10,0.2880,0.2838,0.420,0.2497,0.2496,0.010
?,tencentBlock_10184,10,0.2862,0.2865,-0.030,0.2961,0.2961,0.000
?,tencentBlock_10192,10,0.1019,0.1006,0.130,0.0994,0.0994,0.000
?,tencentBlock_10197,10,0.2030,0.1995,0.350,0.1914,0.1914,0.000
?,tencentBlock_10198,10,0.2764,0.2737,0.270,0.2782,0.2781,0.010
?,tencentBlock_10203,10,0.2540,0.2559,-0.190,0.2622,0.2629,-0.070
?,tencentBlock_10208,10,0.1876,0.1883,-0.070,0.2023,0.2023,0.000
?,tencentBlock_10213,10,0.1179,0.1175,0.040,0.1143,0.1142,0.010
?,tencentBlock_10216,10,0.2562,0.2533,0.290,0.2548,0.2547,0.010
?,tencentBlock_10217,10,0.1215,0.1205,0.100,0.1181,0.1181,0.000
