node,trace,policy,cache_pct,size_mb,hp,threads,rep,miss,tp,requests,footprint_mb,n_objects
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lru,10,65418,27,1,1,0.8296,0.69,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lru,10,65418,27,1,2,0.8296,0.68,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lru,10,65418,27,1,3,0.8296,0.69,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lruforgive,10,65418,27,1,1,0.8296,0.50,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lruforgive,10,65418,27,1,2,0.8296,0.51,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lruforgive,10,65418,27,1,3,0.8296,0.51,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifo,10,65418,27,1,1,0.8298,0.64,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifo,10,65418,27,1,2,0.8298,0.64,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifo,10,65418,27,1,3,0.8298,0.64,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifoforgive,10,65418,27,1,1,0.8298,0.49,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifoforgive,10,65418,27,1,2,0.8298,0.50,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifoforgive,10,65418,27,1,3,0.8298,0.50,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lru,0.1,654,25,1,1,0.8930,0.90,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lru,0.1,654,25,1,2,0.8930,0.89,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lru,0.1,654,25,1,3,0.8930,0.89,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lruforgive,0.1,654,25,1,1,0.8878,0.67,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lruforgive,0.1,654,25,1,2,0.8878,0.68,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,lruforgive,0.1,654,25,1,3,0.8878,0.67,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifo,0.1,654,25,1,1,0.9001,1.10,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifo,0.1,654,25,1,2,0.9001,1.11,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifo,0.1,654,25,1,3,0.9001,1.10,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifoforgive,0.1,654,25,1,1,0.9001,0.88,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifoforgive,0.1,654,25,1,2,0.9001,0.87,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w01,s3fifoforgive,0.1,654,25,1,3,0.9001,0.86,215796256,654175.3344,122804013
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,lru,10,2001,27,1,1,0.9576,0.16,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,lru,10,2001,27,1,2,0.9576,0.16,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,lru,10,2001,27,1,3,0.9576,0.16,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,lruforgive,10,2001,27,1,1,0.7101,0.13,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,lruforgive,10,2001,27,1,2,0.7101,0.13,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,lruforgive,10,2001,27,1,3,0.7101,0.13,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,s3fifo,10,2001,27,1,1,0.4055,0.20,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,s3fifo,10,2001,27,1,2,0.4055,0.20,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,s3fifo,10,2001,27,1,3,0.4055,0.20,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,s3fifoforgive,10,2001,27,1,1,0.5341,0.15,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,s3fifoforgive,10,2001,27,1,2,0.5341,0.15,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w02,s3fifoforgive,10,2001,27,1,3,0.5345,0.15,122180999,20012.2368,495582
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lru,10,183014,27,1,1,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lru,10,183014,27,1,2,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lru,10,183014,27,1,3,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lruforgive,10,183014,27,1,1,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lruforgive,10,183014,27,1,2,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lruforgive,10,183014,27,1,3,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifo,10,183014,27,1,1,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifo,10,183014,27,1,2,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifo,10,183014,27,1,3,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifoforgive,10,183014,27,1,1,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifoforgive,10,183014,27,1,2,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifoforgive,10,183014,27,1,3,NA_TOOBIG,NA,NA,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lru,0.1,1830,27,1,1,0.7255,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lru,0.1,1830,27,1,2,0.7255,0.08,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lru,0.1,1830,27,1,3,0.7255,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lruforgive,0.1,1830,27,1,1,0.7227,0.08,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lruforgive,0.1,1830,27,1,2,0.7227,0.08,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,lruforgive,0.1,1830,27,1,3,0.7227,0.08,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifo,0.1,1830,27,1,1,0.7199,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifo,0.1,1830,27,1,2,0.7199,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifo,0.1,1830,27,1,3,0.7199,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifoforgive,0.1,1830,27,1,1,0.7173,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifoforgive,0.1,1830,27,1,2,0.7173,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w03,s3fifoforgive,0.1,1830,27,1,3,0.7173,0.09,84712977,1830137.0368,27852385
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lru,10,170244,27,1,1,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lru,10,170244,27,1,2,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lru,10,170244,27,1,3,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lruforgive,10,170244,27,1,1,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lruforgive,10,170244,27,1,2,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lruforgive,10,170244,27,1,3,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifo,10,170244,27,1,1,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifo,10,170244,27,1,2,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifo,10,170244,27,1,3,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifoforgive,10,170244,27,1,1,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifoforgive,10,170244,27,1,2,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifoforgive,10,170244,27,1,3,NA_TOOBIG,NA,NA,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lru,0.1,1702,27,1,1,0.5747,0.09,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lru,0.1,1702,27,1,2,0.5747,0.09,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lru,0.1,1702,27,1,3,0.5747,0.09,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lruforgive,0.1,1702,27,1,1,0.5702,0.08,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lruforgive,0.1,1702,27,1,2,0.5702,0.08,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,lruforgive,0.1,1702,27,1,3,0.5702,0.08,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifo,0.1,1702,27,1,1,0.6131,0.09,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifo,0.1,1702,27,1,2,0.6131,0.09,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifo,0.1,1702,27,1,3,0.6131,0.09,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifoforgive,0.1,1702,27,1,1,0.6088,0.08,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifoforgive,0.1,1702,27,1,2,0.6088,0.08,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w04,s3fifoforgive,0.1,1702,27,1,3,0.6088,0.08,77764581,1702443.4176,18753381
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lru,10,147143,27,1,1,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lru,10,147143,27,1,2,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lru,10,147143,27,1,3,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lruforgive,10,147143,27,1,1,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lruforgive,10,147143,27,1,2,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lruforgive,10,147143,27,1,3,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifo,10,147143,27,1,1,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifo,10,147143,27,1,2,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifo,10,147143,27,1,3,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifoforgive,10,147143,27,1,1,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifoforgive,10,147143,27,1,2,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifoforgive,10,147143,27,1,3,NA_TOOBIG,NA,NA,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lru,0.1,1471,27,1,1,0.8785,0.20,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lru,0.1,1471,27,1,2,0.8785,0.21,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lru,0.1,1471,27,1,3,0.8785,0.20,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lruforgive,0.1,1471,27,1,1,0.8768,0.18,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lruforgive,0.1,1471,27,1,2,0.8768,0.18,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,lruforgive,0.1,1471,27,1,3,0.8768,0.18,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifo,0.1,1471,27,1,1,0.9027,0.24,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifo,0.1,1471,27,1,2,0.9027,0.25,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifo,0.1,1471,27,1,3,0.9027,0.24,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifoforgive,0.1,1471,27,1,1,0.9021,0.23,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifoforgive,0.1,1471,27,1,2,0.9021,0.22,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w05,s3fifoforgive,0.1,1471,27,1,3,0.9021,0.23,73034545,1471429.7344,41379800
node5.tardis-apia.ldos-ut-pg0.wisc.cloudlab.us,w06,lru,10,2238,27,1,1,0.0685,1.33,69392149,22381.056,1699448
