node,trace,policy,cache_pct,size_mb,hp,threads,rep,miss,tp,requests,footprint_mb,n_objects
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lru,10,18876,30,1,1,0.8357,0.21,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lru,10,18876,30,1,2,0.8357,0.22,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lru,10,18876,30,1,3,0.8357,0.22,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lruforgive,10,18876,30,1,1,0.8347,0.20,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lruforgive,10,18876,30,1,2,0.8347,0.20,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lruforgive,10,18876,30,1,3,0.8347,0.20,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifo,10,18876,30,1,1,0.8000,0.22,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifo,10,18876,30,1,2,0.8000,0.22,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifo,10,18876,30,1,3,0.8000,0.22,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifoforgive,10,18876,30,1,1,0.7999,0.21,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifoforgive,10,18876,30,1,2,0.7999,0.21,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifoforgive,10,18876,30,1,3,0.7999,0.21,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lru,0.1,189,24,1,1,0.9681,0.38,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lru,0.1,189,24,1,2,0.9681,0.38,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lru,0.1,189,24,1,3,0.9681,0.38,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lruforgive,0.1,189,24,1,1,0.9672,0.31,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lruforgive,0.1,189,24,1,2,0.9672,0.31,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,lruforgive,0.1,189,24,1,3,0.9672,0.31,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifo,0.1,189,24,1,1,0.9817,0.53,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifo,0.1,189,24,1,2,0.9817,0.54,45746221,188762.112,6170590
node2.cachelib-test.ldos-ut-pg0.clemson.cloudlab.us,msr_src1_1,s3fifo,0.1,189,24,1,3,0.9817,0.54,45746221,188762.112,6170590
